variable,CFUs
P0_1_1,1.65E+08
P0_1_2,1.60E+08
P0_1_3,2.85E+08
P0_7_1,8.05E+07
P0_7_2,2.80E+08
P0_7_3,3.75E+08
P0_11_1,1.14E+09
P0_11_2,7.85E+08
P0_11_3,1.09E+09
P0_13_1,2.70E+09
P0_13_2,1.12E+09
P0_13_3,1.21E+09
P0_31_1,3.85E+08
P0_31_2,2.80E+08
P0_31_3,5.25E+08
P0_43_1,5.80E+08
P0_43_2,5.25E+08
P0_43_3,5.55E+08
P0_57_1,2.60E+08
P0_57_2,1.40E+08
P0_57_3,1.10E+08
P0_65_1,5.15E+08
P0_65_2,6.80E+08
P0_65_3,7.70E+08
P1_1_1,6.15E+08
P1_1_2,6.90E+08
P1_1_3,6.15E+08
P1_7_1,1.04E+08
P1_7_2,1.12E+08
P1_7_3,1.40E+07
P1_11_1,4.00E+08
P1_11_2,2.20E+08
P1_11_3,3.85E+08
P1_13_1,5.05E+08
P1_13_2,3.15E+08
P1_13_3,3.30E+08
P1_31_1,1.85E+08
P1_31_2,2.50E+08
P1_43_1,5.45E+08
P1_43_2,6.25E+08
P1_43_3,4.35E+08
P1_57_2,8.70E+07
P1_57_3,1.55E+08
P1_65_1,575000000
P1_65_2,6.15E+08
P1_65_3,5.75E+08
P2_1_1,3.15E+07
P2_1_2,3.70E+07
P2_1_3,4.15E+07
P2_7_1,1.00E+08
P2_7_2,2.30E+07
P2_7_3,1.12E+08
P2_11_1,3.90E+08
P2_11_2,3.55E+08
P2_11_3,5.05E+08
P2_13_1,7.80E+08
P2_13_2,3.85E+08
P2_13_3,2.25E+08
P2_31_1,1.85E+08
P2_31_2,1.85E+08
P2_31_3,2.50E+08
P2_43_1,5.45E+08
P2_43_2,6.25E+08
P2_43_3,4.35E+08
P2_57_1,8.00E+07
P2_57_2,8.70E+07
P2_57_3,6.70E+07
P2_65_1,6.60E+08
P2_65_2,6.35E+08
P2_65_3,5.10E+08
P3_1_1,3.55E+07
P3_1_2,5.00E+07
P3_1_3,2.00E+08
P3_7_1,4.60E+08
P3_7_2,5.25E+08
P3_7_3,2.85E+08
P3_11_1,2.10E+08
P3_11_2,2.20E+08
P3_13_1,4.10E+08
P3_13_2,3.85E+08
P3_13_3,1.95E+08
P3_31_1,3.50E+08
P3_31_2,4.00E+08
P3_31_3,4.15E+08
P3_43_1,4.00E+08
P3_43_2,5.70E+08
P3_43_3,8.10E+08
P3_57_1,8.00E+03
P3_57_2,9.10E+07
P3_57_3,7.20E+07
P3_65_1,6.40E+08
P3_65_2,5.50E+08
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
