Strain	P0_11_1_S1_L001_B6F_B16R_	P0_11_2_S1_L001_B7F_B16R_	P0_11_3_S1_L001_B8F_B16R_	P0_13_1_S1_L001_B9F_B16R_	P0_13_2_S1_L001_B10F_B16R_	P0_13_3_S1_L001_B11F_B16R_	P0_1_1_S1_L001_B12F_B15R_	P0_1_2_S1_L001_B1F_B16R_	P0_1_3_S1_L001_B2F_B16R_	P0_31_1_S1_L001_B12F_B16R_	P0_31_2_S1_L001_B1F_B17R_	P0_31_3_S1_L001_B2F_B17R_	P0_43_1_S1_L001_B3F_B17R_	P0_43_2_S1_L001_B4F_B17R_	P0_43_3_S1_L001_B5F_B17R_	P0_57_1_S1_L001_B6F_B17R_	P0_57_2_S1_L001_B7F_B17R_	P0_57_3_S1_L001_B8F_B17R_	P0_65_1_S1_L001_B9F_B17R_	P0_65_2_S1_L001_B10F_B17R_	P0_65_3_S1_L001_B11F_B17R_	P0_7_1_S1_L001_B3F_B16R_	P0_7_2_S1_L001_B4F_B16R_	P0_7_3_S1_L001_B5F_B16R_	P1_11_1_S1_L001_B6F_B18R_	P1_11_2_S1_L001_B7F_B18R_	P1_11_3_S1_L001_B8F_B18R_	P1_13_1_S1_L001_B9F_B18R_	P1_13_2_S1_L001_B10F_B18R_	P1_13_3_S1_L001_B11F_B18R_	P1_1_1_S1_L001_B12F_B17R_	P1_1_2_S1_L001_B1F_B18R_	P1_1_3_S1_L001_B2F_B18R_	P1_31_1_S1_L001_B12F_B18R_	P1_31_2_S1_L001_B1F_B19R_	P1_31_3_S1_L001_B2F_B19R_	P1_43_1_S1_L001_B3F_B19R_	P1_43_2_S1_L001_B4F_B19R_	P1_43_3_S1_L001_B5F_B19R_	P1_57_1_S1_L001_B6F_B19R_	P1_57_2_S1_L001_B7F_B19R_	P1_57_3_S1_L001_B8F_B19R_	P1_65_1_S1_L001_B9F_B19R_	P1_65_2_S1_L001_B10F_B19R_	P1_65_3_S1_L001_B11F_B19R_	P1_7_1_S1_L001_B3F_B18R_	P1_7_2_S1_L001_B4F_B18R_	P1_7_3_S1_L001_B5F_B18R_	P2_11_1_S1_L001_B6F_B20R_	P2_11_2_S1_L001_B7F_B20R_	P2_11_3_S1_L001_B8F_B20R_	P2_13_1_S1_L001_B9F_B20R_	P2_13_2_S1_L001_B10F_B20R_	P2_13_3_S1_L001_B11F_B20R_	P2_1_1_S1_L001_B12F_B19R_	P2_1_2_S1_L001_B1F_B20R_	P2_1_3_S1_L001_B2F_B20R_	P2_31_1_S1_L001_B12F_B20R_	P2_31_2_S1_L001_B1F_B21R_	P2_31_3_S1_L001_B2F_B21R_	P2_43_1_S1_L001_B3F_B21R_	P2_43_2_S1_L001_B4F_B21R_	P2_43_3_S1_L001_B5F_B21R_	P2_57_2_S1_L001_B7F_B21R_	P2_57_3_S1_L001_B8F_B21R_	P2_65_1_S1_L001_B9F_B21R_	P2_65_2_S1_L001_B10F_B21R_	P2_65_3_S1_L001_B11F_B21R_	P2_7_1_S1_L001_B3F_B20R_	P2_7_2_S1_L001_B4F_B20R_	P2_7_3_S1_L001_B5F_B20R_	P3_11_1_S1_L001_B6F_B22R_	P3_11_2_S1_L001_B7F_B22R_	P3_11_3_S1_L001_B8F_B22R_	P3_13_1_S1_L001_B9F_B22R_	P3_13_2_S1_L001_B10F_B22R_	P3_13_3_S1_L001_B11F_B22R_	P3_1_1_S1_L001_B12F_B21R_	P3_1_2_S1_L001_B1F_B22R_	P3_1_3_S1_L001_B2F_B22R_	P3_31_1_S1_L001_B12F_B22R_	P3_31_2_S1_L001_B1F_B23R_	P3_31_3_S1_L001_B2F_B23R_	P3_43_1_S1_L001_B3F_B23R_	P3_43_2_S1_L001_B4F_B23R_	P3_43_3_S1_L001_B5F_B23R_	P3_57_2_S1_L001_B7F_B23R_	P3_57_3_S1_L001_B8F_B23R_	P3_65_1_S1_L001_B9F_B23R_	P3_65_2_S1_L001_B10F_B23R_	P3_65_3_S1_L001_B11F_B23R_	P3_7_1_S1_L001_B3F_B22R_	P3_7_2_S1_L001_B4F_B22R_	P3_7_3_S1_L001_B5F_B22R_
wkb8	0	0	0	0	1	1	0	0	0	574	911	609	68	68	18	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	0	0	410	656	805	86	103	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	463	499	90	87	85	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	58	104	62	51	50	24	0	0	1	1	1	0	0	3
ESL0261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ESL0351	4439	3976	7231	15	1	0	0	1	0	0	1	0	13	21	10	0	0	0	2759	886	2465	0	2	2	1760	1355	2265	0	0	0	6	0	0	0	0	2	26	24	12	0	0	0	192	865	1623	0	0	0	58	123	276	0	0	0	0	0	0	0	0	0	28	35	31	0	9	322	318	311	0	0	0	8380	496	591	0	0	0	0	0	0	0	0	2	31	38	31	0	1	106	132	102	0	0	0
ESL0354	0	2	3	0	2	1	2	1	0	4228	6756	4031	7916	8434	3759	3	1	4	0	1	1	0	5	4	3	1	0	1	1	1	12	2	0	1160	3223	3895	10095	10618	9112	1	2	14	0	8	17	0	7	4	0	0	0	0	0	1	0	0	0	509	1388	1548	6645	5873	6286	3	1	7	1	5	3	4	0	53	9	5	2	4	7	6	8	1	136	249	223	2148	1821	1415	5	6	8	12	19	5	3	15
ESL0185	7715	7767	10183	35	16	17	3292	1551	2227	2	0	0	0	0	1	0	1	2	1	0	3	5656	10053	7876	5889	4742	8037	9	9	12	6900	2058	1231	0	4	0	3	0	8	1	3	3	0	9	10	7268	7970	4433	350	1188	2044	2	1	3	2199	1624	607	1	0	4	2	0	2	1	8	5	34	2	5836	7966	416	210090	16494	24210	28	29	50	4042	10374	9951	5	1	11	1	0	1	7	1	1	8	8	15153	15922	11609
ESL0184	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	2	1	0	0
ESL0183	3	3	5	3673	5591	5546	7	0	0	6199	8504	6359	0	2	3	1	0	5	3	2	17	1	2	13	3	8	5	6418	5166	6203	22	11	6	3868	9306	10817	9	4	7	11	2	14	0	40	57	6	14	8	3	0	1	1044	660	2883	8	5	0	5137	19629	19571	14	10	3	7	48	24	118	16	3	3	2	69	12	26	13185	13030	45145	7	21	10	11987	25032	23245	50	20	4	16	6	18	56	9	29	8	29
ESL0263	23	14	37	7725	13651	8893	11001	6345	6944	1	1	3	2	2	0	0	0	2	1	1	13	16	22	23	17	16	24	3657	3575	3295	43813	8667	8523	1	3	1	5	0	2	1	2	14	0	20	20	29	45	22	7	4	13	724	400	2687	6735	5256	2342	3	1	1	7	2	0	2	20	2	15	25	13	21	4	668	48	83	10286	7409	19663	2985	9480	9856	2	2	9	8	7	7	5	2	6	3	1	43	52	37
ESL0350	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2935	1869	7579	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	10650	10012	16758	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9564	19090	0	17	0	3	1	0	2	2	1	0	0	5	0	0	0	0	0	0	0	0	0	16087	12238	0	0	0	4	1	3
ESL0260	1	1	8	0	3	0	8	3	2	3	3	1	2	1	1	899	949	2226	2	3	0	5212	4723	1882	2	6	6	1	2	4	15	3	5	1	12	5	6	3	8	2826	2006	3333	1	6	11	6244	5719	4259	0	0	1	0	1	1	8	3	0	2	3	7	18	9	5	1332	2482	25	32	6	4100	6969	238	68	20	47	3	1	11	4	14	6	5	17	36	9	21	15	1193	1098	8	73	40	6981	6573	4876
