variable,CFUs
P0_1_1,1.75E+08
P0_1_2,1.62E+08
P0_1_3,6.25E+08
P0_1_4,3.10E+08
P0_1_5,5.95E+08
P0_1_6,1.95E+08
P0_1_7,3.20E+08
P0_1_8,3.35E+08
P0_1_9,8.00E+06
P0_7_1,4.70E+08
P0_7_2,8.05E+08
P0_7_3,9.75E+08
P0_7_4,7.10E+07
P0_7_5,2.30E+08
P0_7_6,2.90E+08
P0_7_7,7.85E+08
P0_7_8,1.70E+08
P0_7_9,5.85E+08
P0_7_10,7.20E+08
P0_11_1,3.50E+08
P0_11_2,6.35E+08
P0_11_3,2.10E+08
P0_11_4,4.30E+08
P0_11_5,7.25E+08
P0_11_6,9.00E+08
P0_11_7,7.30E+08
P0_11_8,4.40E+08
P0_11_9,9.15E+08
P0_11_10,5.60E+08
P0_13_1,6.60E+08
P0_13_2,1.31E+08
P0_13_3,6.40E+07
P0_13_4,5.50E+08
P0_13_5,7.35E+08
P0_13_6,2.80E+08
P0_13_7,7.15E+08
P0_13_8,2.35E+08
P0_13_9,7.10E+08
P0_13_10,4.80E+08
P0_31_1,7.35E+08
P0_31_2,7.20E+08
P0_31_3,1.76E+08
P0_31_4,4.95E+08
P0_31_5,5.95E+08
P0_31_6,5.45E+08
P0_31_7,7.40E+08
P0_31_8,7.80E+08
P0_31_9,6.55E+08
P0_31_10,6.20E+08
P0_43_1,1.06E+09
P0_43_2,9.25E+08
P0_43_3,1.00E+09
P0_43_4,9.30E+08
P0_43_5,6.05E+08
P0_43_6,6.60E+08
P0_43_7,6.65E+08
P0_43_8,4.40E+08
P0_43_9,4.15E+08
P0_43_10,6.45E+08
P0_57_1,8.50E+08
P0_57_2,7.15E+08
P0_57_3,1.04E+09
P0_57_4,9.30E+08
P0_57_5,7.10E+08
P0_57_6,9.05E+08
P0_57_7,6.85E+08
P0_57_8,1.15E+09
P0_57_9,6.95E+08
P0_57_10,9.40E+08
P0_65_1,1.03E+09
P0_65_2,1.07E+09
P0_65_3,9.80E+08
P0_65_4,5.65E+08
P0_65_5,9.90E+08
P0_65_6,4.70E+08
P0_65_7,7.55E+08
P0_65_8,1.00E+09
P0_65_9,1.49E+08
P0_65_10,8.50E+08
P1_1_1,7.85E+08
P1_1_2,3.05E+08
P1_1_3,5.40E+08
P1_1_4,4.30E+08
P1_1_6,5.35E+08
P1_1_7,5.60E+08
P1_1_8,8.95E+08
P1_1_9,1.30E+08
P1_1_10,3.40E+08
P1_7_1,2.20E+09
P1_7_2,4.65E+08
P1_7_3,2.60E+08
P1_7_4,1.17E+09
P1_7_5,1.18E+09
P1_7_6,4.45E+08
P1_7_7,7.45E+08
P1_7_8,1.60E+09
P1_7_9,1.17E+09
P1_7_10,5.10E+08
P1_11_1,1.57E+09
P1_11_2,6.10E+08
P1_11_3,8.00E+07
P1_11_4,7.20E+08
P1_11_6,4.10E+08
P1_11_7,4.00E+07
P1_11_8,3.20E+08
P1_11_9,9.00E+07
P1_11_10,6.00E+07
P1_13_1,5.55E+08
P1_13_2,7.45E+07
P1_13_3,3.15E+07
P1_13_4,2.50E+08
P1_13_5,2.55E+07
P1_13_6,3.50E+08
P1_13_7,1.60E+06
P1_13_8,5.65E+08
P1_13_9,7.45E+08
P1_31_1,1.27E+09
P1_31_2,5.37E+09
P1_31_5,5.35E+08
P1_31_7,3.70E+08
P1_31_9,8.90E+08
P1_43_1,3.85E+08
P1_43_2,9.85E+08
P1_43_3,1.02E+09
P1_43_4,9.45E+08
P1_43_5,1.26E+09
P1_43_6,5.10E+08
P1_43_7,5.75E+08
P1_43_8,1.24E+09
P1_43_9,8.40E+08
P1_43_10,9.45E+08
P1_57_1,4.30E+08
P1_57_2,9.55E+08
P1_57_3,1.30E+09
P1_57_4,8.20E+08
P1_57_5,1.05E+09
P1_57_6,1.35E+09
P1_57_7,8.75E+08
P1_57_8,5.00E+07
P1_57_9,6.15E+08
P1_57_10,6.25E+08
P1_65_1,4.55E+08
P1_65_2,9.55E+08
P1_65_3,9.45E+08
P1_65_4,9.80E+08
P1_65_5,2.65E+08
P1_65_6,1.32E+09
P1_65_7,4.05E+08
P1_65_8,1.31E+09
P1_65_9,1.01E+09
P1_65_10,2.65E+08
P2_1_1,6.07E+07
P2_1_2,8.50E+08
P2_1_3,3.90E+08
P2_1_4,5.80E+08
P2_1_5,4.20E+08
P2_1_6,7.65E+08
P2_1_7,6.55E+08
P2_1_8,5.05E+08
P2_1_9,5.80E+08
P2_1_10,4.95E+08
P2_7_1,7.55E+08
P2_7_2,1.26E+09
P2_7_3,1.41E+09
P2_7_4,1.50E+09
P2_7_5,7.55E+08
P2_7_6,6.60E+08
P2_7_7,1.02E+09
P2_7_8,9.60E+08
P2_7_9,7.55E+08
P2_7_10,1.35E+09
P2_11_1,1.29E+09
P2_11_2,1.71E+09
P2_11_3,1.01E+09
P2_11_4,1.17E+09
P2_11_5,9.15E+08
P2_11_6,4.10E+08
P2_11_7,1.08E+09
P2_11_8,8.30E+08
P2_11_9,7.40E+08
P2_11_10,1.37E+09
P2_13_1,1.89E+09
P2_13_2,8.90E+08
P2_13_3,1.14E+09
P2_13_4,8.75E+08
P2_13_5,1.22E+09
P2_13_6,7.35E+08
P2_13_7,4.95E+08
P2_13_8,9.10E+08
P2_13_9,7.95E+08
P2_13_10,1.10E+09
