Strain	P0_11_10_S1_L001_B6F_B3R_	P0_11_1_S1_L001_B9F_B2R_	P0_11_2_S1_L001_B10F_B2R_	P0_11_3_S1_L001_B11F_B2R_	P0_11_4_S1_L001_B12F_B2R_	P0_11_5_S1_L001_B1F_B3R_	P0_11_6_S1_L001_B2F_B3R_	P0_11_7_S1_L001_B3F_B3R_	P0_11_8_S1_L001_B4F_B3R_	P0_11_9_S1_L001_B5F_B3R_	P0_13_1_S1_L001_B7F_B3R_	P0_13_2_S1_L001_B8F_B3R_	P0_13_3_S1_L001_B9F_B3R_	P0_13_4_S1_L001_B10F_B3R_	P0_13_5_S1_L001_B11F_B3R_	P0_13_6_S1_L001_B12F_B3R_	P0_13_7_S1_L001_B1F_B4R_	P0_13_8_S1_L001_B2F_B4R_	P0_13_9_S1_L001_B3F_B4R_	P0_1_10_S1_L001_B10F_B1R_	P0_1_1_S1_L001_B1F_B1R_	P0_1_2_S1_L001_B2F_B1R_	P0_1_3_S1_L001_B3F_B1R_	P0_1_4_S1_L001_B4F_B1R_	P0_1_5_S1_L001_B5F_B1R_	P0_1_6_S1_L001_B6F_B1R_	P0_1_7_S1_L001_B7F_B1R_	P0_1_8_S1_L001_B8F_B1R_	P0_1_9_S1_L001_B9F_B1R_	P0_31_10_S1_L001_B2F_B5R_	P0_31_1_S1_L001_B5F_B4R_	P0_31_2_S1_L001_B6F_B4R_	P0_31_3_S1_L001_B7F_B4R_	P0_31_4_S1_L001_B8F_B4R_	P0_31_5_S1_L001_B9F_B4R_	P0_31_6_S1_L001_B10F_B4R_	P0_31_7_S1_L001_B11F_B4R_	P0_31_8_S1_L001_B12F_B4R_	P0_31_9_S1_L001_B1F_B5R_	P0_43_10_S1_L001_B12F_B5R_	P0_43_1_S1_L001_B3F_B5R_	P0_43_2_S1_L001_B4F_B5R_	P0_43_3_S1_L001_B5F_B5R_	P0_43_4_S1_L001_B6F_B5R_	P0_43_5_S1_L001_B7F_B5R_	P0_43_6_S1_L001_B8F_B5R_	P0_43_7_S1_L001_B9F_B5R_	P0_43_8_S1_L001_B10F_B5R_	P0_43_9_S1_L001_B11F_B5R_	P0_57_10_S1_L001_B10F_B6R_	P0_57_1_S1_L001_B1F_B6R_	P0_57_2_S1_L001_B2F_B6R_	P0_57_3_S1_L001_B3F_B6R_	P0_57_4_S1_L001_B4F_B6R_	P0_57_5_S1_L001_B5F_B6R_	P0_57_6_S1_L001_B6F_B6R_	P0_57_7_S1_L001_B7F_B6R_	P0_57_8_S1_L001_B8F_B6R_	P0_57_9_S1_L001_B9F_B6R_	P0_65_10_S1_L001_B8F_B7R_	P0_65_1_S1_L001_B11F_B6R_	P0_65_2_S1_L001_B12F_B6R_	P0_65_3_S1_L001_B1F_B7R_	P0_65_4_S1_L001_B2F_B7R_	P0_65_5_S1_L001_B3F_B7R_	P0_65_6_S1_L001_B4F_B7R_	P0_65_7_S1_L001_B5F_B7R_	P0_65_8_S1_L001_B6F_B7R_	P0_65_9_S1_L001_B7F_B7R_	P0_7_10_S1_L001_B8F_B2R_	P0_7_1_S1_L001_B11F_B1R_	P0_7_2_S1_L001_B12F_B1R_	P0_7_3_S1_L001_B1F_B2R_	P0_7_4_S1_L001_B2F_B2R_	P0_7_5_S1_L001_B3F_B2R_	P0_7_6_S1_L001_B4F_B2R_	P0_7_7_S1_L001_B5F_B2R_	P0_7_8_S1_L001_B6F_B2R_	P0_7_9_S1_L001_B7F_B2R_	P1_11_10_S1_L001_B2F_B10R_	P1_11_1_S1_L001_B5F_B9R_	P1_11_2_S1_L001_B6F_B9R_	P1_11_3_S1_L001_B7F_B9R_	P1_11_4_S1_L001_B8F_B9R_	P1_11_5_S1_L001_B9F_B9R_	P1_11_6_S1_L001_B10F_B9R_	P1_11_7_S1_L001_B11F_B9R_	P1_11_8_S1_L001_B12F_B9R_	P1_11_9_S1_L001_B1F_B10R_	P1_13_10_S1_L001_B12F_B10R_	P1_13_1_S1_L001_B3F_B10R_	P1_13_2_S1_L001_B4F_B10R_	P1_13_3_S1_L001_B5F_B10R_	P1_13_4_S1_L001_B6F_B10R_	P1_13_5_S1_L001_B7F_B10R_	P1_13_6_S1_L001_B8F_B10R_	P1_13_7_S1_L001_B9F_B10R_	P1_13_8_S1_L001_B10F_B10R_	P1_13_9_S1_L001_B11F_B10R_	P1_1_10_S1_L001_B6F_B8R_	P1_1_1_S1_L001_B9F_B7R_	P1_1_2_S1_L001_B10F_B7R_	P1_1_3_S1_L001_B11F_B7R_	P1_1_4_S1_L001_B12F_B7R_	P1_1_5_S1_L001_B1F_B8R_	P1_1_6_S1_L001_B2F_B8R_	P1_1_7_S1_L001_B3F_B8R_	P1_1_8_S1_L001_B4F_B8R_	P1_1_9_S1_L001_B5F_B8R_	P1_31_10_S1_L001_B10F_B11R_	P1_31_1_S1_L001_B1F_B11R_	P1_31_2_S1_L001_B2F_B11R_	P1_31_3_S1_L001_B3F_B11R_	P1_31_4_S1_L001_B4F_B11R_	P1_31_5_S1_L001_B5F_B11R_	P1_31_6_S1_L001_B6F_B11R_	P1_31_7_S1_L001_B7F_B11R_	P1_31_8_S1_L001_B8F_B11R_	P1_31_9_S1_L001_B9F_B11R_	P1_43_10_S1_L001_B8F_B12R_	P1_43_1_S1_L001_B11F_B11R_	P1_43_2_S1_L001_B12F_B11R_	P1_43_3_S1_L001_B1F_B12R_	P1_43_4_S1_L001_B2F_B12R_	P1_43_5_S1_L001_B3F_B12R_	P1_43_6_S1_L001_B4F_B12R_	P1_43_7_S1_L001_B5F_B12R_	P1_43_8_S1_L001_B6F_B12R_	P1_43_9_S1_L001_B7F_B12R_	P1_57_10_S1_L001_B6F_B13R_	P1_57_1_S1_L001_B9F_B12R_	P1_57_2_S1_L001_B10F_B12R_	P1_57_3_S1_L001_B11F_B12R_	P1_57_4_S1_L001_B12F_B12R_	P1_57_5_S1_L001_B1F_B13R_	P1_57_6_S1_L001_B2F_B13R_	P1_57_7_S1_L001_B3F_B13R_	P1_57_8_S1_L001_B4F_B13R_	P1_57_9_S1_L001_B5F_B13R_	P1_65_10_S1_L001_B4F_B14R_	P1_65_1_S1_L001_B7F_B13R_	P1_65_2_S1_L001_B8F_B13R_	P1_65_3_S1_L001_B9F_B13R_	P1_65_4_S1_L001_B10F_B13R_	P1_65_5_S1_L001_B11F_B13R_	P1_65_6_S1_L001_B12F_B13R_	P1_65_7_S1_L001_B1F_B14R_	P1_65_8_S1_L001_B2F_B14R_	P1_65_9_S1_L001_B3F_B14R_	P1_7_10_S1_L001_B4F_B9R_	P1_7_1_S1_L001_B7F_B8R_	P1_7_2_S1_L001_B8F_B8R_	P1_7_3_S1_L001_B9F_B8R_	P1_7_4_S1_L001_B10F_B8R_	P1_7_7_S1_L001_B1F_B9R_	P1_7_8_S1_L001_B2F_B9R_	P1_7_9_S1_L001_B3F_B9R_	P2_11_1_S1_L001_B1F_B16R_	P2_11_2_S1_L001_B2F_B16R_	P2_11_3_S1_L001_B3F_B16R_	P2_11_4_S1_L001_B4F_B16R_	P2_11_5_S1_L001_B5F_B16R_	P2_11_6_S1_L001_B6F_B16R_	P2_11_7_S1_L001_B7F_B16R_	P2_11_8_S1_L001_B8F_B16R_	P2_13_1_S1_L001_B11F_B16R_	P2_13_2_S1_L001_B12F_B16R_	P2_13_3_S1_L001_B1F_B17R_	P2_13_4_S1_L001_B2F_B17R_	P2_13_5_S1_L001_B3F_B17R_	P2_13_6_S1_L001_B4F_B17R_	P2_13_7_S1_L001_B5F_B17R_	P2_13_8_S1_L001_B6F_B17R_	P2_13_9_S1_L001_B6F_B17R_	P2_13_10_S1_L001_B6F_B17R_	P2_1_10_S1_L001_B2F_B15R_	P2_1_1_S1_L001_B5F_B14R_	P2_1_2_S1_L001_B6F_B14R_	P2_1_3_S1_L001_B7F_B14R_	P2_1_4_S1_L001_B8F_B14R_	P2_1_5_S1_L001_B9F_B14R_	P2_1_6_S1_L001_B10F_B14R_	P2_1_7_S1_L001_B11F_B14R_	P2_1_8_S1_L001_B12F_B14R_	P2_1_9_S1_L001_B1F_B15R_	P2_31_1_S1_L001_B9F_B17R_	P2_31_2_S1_L001_B10F_B17R_	P2_31_3_S1_L001_B11F_B17R_	P2_31_4_S1_L001_B12F_B17R_	P2_31_5_S1_L001_B1F_B18R_	P2_31_6_S1_L001_B2F_B18R_	P2_31_7_S1_L001_B3F_B18R_	P2_31_8_S1_L001_B3F_B18R_	P2_31_9_S1_L001_B3F_B18R_	P2_43_1_S1_L001_B7F_B18R_	P2_43_2_S1_L001_B8F_B18R_	P2_43_3_S1_L001_B9F_B18R_	P2_43_4_S1_L001_B10F_B18R_	P2_43_5_S1_L001_B11F_B18R_	P2_43_6_S1_L001_B12F_B18R_	P2_43_7_S1_L001_B12F_B18R_	P2_43_8_S1_L001_B12F_B18R_	P2_43_9_S1_L001_B12F_B18R_	P2_57_1_S1_L001_B5F_B19R_	P2_57_2_S1_L001_B6F_B19R_	P2_57_3_S1_L001_B7F_B19R_	P2_57_4_S1_L001_B8F_B19R_	P2_57_5_S1_L001_B9F_B19R_	P2_57_6_S1_L001_B9F_B19R_	P2_57_7_S1_L001_B9F_B19R_	P2_57_8_S1_L001_B9F_B19R_	P2_57_9_S1_L001_B9F_B19R_	P2_65_1_S1_L001_B3F_B20R_	P2_65_2_S1_L001_B4F_B20R_	P2_65_3_S1_L001_B5F_B20R_	P2_65_4_S1_L001_B6F_B20R_	P2_65_5_S1_L001_B7F_B20R_	P2_65_6_S1_L001_B8F_B20R_	P2_65_7_S1_L001_B8F_B20R_	P2_65_8_S1_L001_B8F_B20R_	P2_65_9_S1_L001_B8F_B20R_	P2_65_10_S1_L001_B8F_B20R_	P2_57_10_S1_L001_B2F_B20R_	P2_7_1_S1_L001_B3F_B15R_	P2_7_2_S1_L001_B4F_B15R_	P2_7_3_S1_L001_B5F_B15R_	P2_7_4_S1_L001_B6F_B15R_	P2_7_5_S1_L001_B7F_B15R_	P2_7_6_S1_L001_B8F_B15R_	P2_7_7_S1_L001_B9F_B15R_	P2_7_8_S1_L001_B10F_B15R_	P2_7_9_S1_L001_B11F_B15R_
wkb8	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	626	22	1104	53	52	4	3	0	40	42	32	46	46	23	85	56	101	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	7	2	0	63	89	42	7	22	19	50	57	136	53	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	3	6	4	0	3	0	1	41	25	31	8	48	86	68	75	60	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESL0261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	10	0	0	0	0	0	0	0	0
ESL0351	511	1513	390	6216	63	1605	135	3458	95	3920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	12	7	11	13	47	30	15	36	30	0	0	0	0	1	0	0	2	0	0	1719	18650	1499	8917	1676	4593	7119	6990	3175	1324	1	1	0	0	0	0	0	1	0	0	716	4111	531	5828	293	63	21432	2756	11964	1007	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21	43	14	3	10	19	16	7	63	26	1	0	0	14	0	0	0	0	0	0	535	1534	1415	1292	366	2875	1149	374	342	1392	1	1	0	0	0	0	0	0	492	1282	3622	4037	88	9483	11628	8906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	15	10	5	16	21	21	24	15	3	15	1	1	0	0	0	0	0	36	33	24	14	62	66	169	434	473	85	37	10	0	1	0	0	1	3	0	0
ESL0354	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	9	0	1	0	0	0	0	0	0	0	1	0	1	130	159	41645	884	12634	238	926	2	128	37	15488	7642	11875	14568	20771	14939	20631	23794	21631	33352	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	5	0	1	1	1	0	0	0	0	1	3	2	0	0	0	2	8	1	0	0	0	0	2	1	1	0	2	3	0	0	0	1	7	0	0	0	0	129	0	0	0	0	1	0	0	6	12	1	3	71	1	0	15787	15126	12203	2990	3842	6067	9972	6573	59854	10020	5	0	1	45	1	0	12	0	1	0	0	0	0	2	0	6	0	4	0	0	1	6	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	18	0	1	2	0	3	13016	9836	7568	2886	12874	16194	9542	11510	10446	123	1823	0	105	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ESL0185	6256	10461	6280	26256	950	4140	108	6760	8516	3310	7	7	10	6	7	4	5	2	3	1949	1532	365	2390	330	1063	75	2035	1945	855	0	1	5037	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	39	0	0	1	0	0	3921	22905	5006	4660	1490	2872	8147	8154	5656	7608	7461	17383	5828	10684	21826	1933	13071	26882	3415	7821	1937	16	21	17	6	6	21	19	18	10	1109	1550	2702	3646	7107	88	2332	1514	1567	192	4990	1921	1225	851	2865	1957	2843	2281	1826	4627	105	2	0	0	0	252	213	0	2	0	0	2	7	0	1	0	0	0	0	0	0	342	121	0	0	0	0	0	1	11	2127	1903	4481	9204	4015	4892	1064	478	7960	1388	8307	5082	1135	16820	19477	22456	233	233	371	540	34	602	13	322	1181	2172	146	492	1127	1683	1304	2106	331	968	508	755	594	1445	6816	5306	9427	1159	4941	2648	4569	3004	1042	916	357	1490	3299	277	1292	536	0	0	0	0	1	1	0	1	0	1324	781	671	359	1542	1473	3956	7674	7480	1080	615	3965	767	1314	1719	2900	2617	2161	2031	908
ESL0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	35	0	0	2	1	0	3	0	11	13	3	0	3	10	2	40	21	7	3	0	0	0	0	0	0	0	0	0
ESL0183	10	0	0	1	1	6	0	1	55	0	7295	16464	16869	2262	8547	11989	9318	3004	7427	0	3	68	0	2	1	112	0	0	0	4781	14066	102739	27685	20907	7450	1648	45212	15785	7503	29	0	1	34	2	103	0	2	0	2	0	0	0	1	15	1	12	30	0	0	3	0	0	0	0	652	2	81	1	0	1	1	1	0	1	0	0	0	4	3	0	0	0	515	2	1	0	0	0	0	10963	3402	9274	4010	22441	7861	5058	10885	14023	23438	6	0	1	20	1230	1	1	77	362	1	27289	10829	11176	12328	11699	12113	17702	12153	27496	14912	0	3	43	0	0	64	3	1	39	18	0	0	2	1	1	1	0	6	26	0	2	0	0	0	10	0	0	87	0	0	0	7	1	1	0	0	3	0	0	0	0	172	2	1	0	0	3756	3274	6588	5394	4719	5722	5478	6292	8091	15158	0	0	0	0	0	0	6	1	11	0	5116	4415	16499	12098	27573	5744	17727	5318	22098	4	19	11	1	1	0	2	3	3	12	2	0	12	0	3	0	0	2	0	34	0	1	173	0	1	2	0	9	0	0	0	0	0	0	0	0	0	0
ESL0263	52	22	24	104	3	34	1	85	46	29	7684	4470	4682	5992	4413	6906	3979	1046	4645	24621	16180	7770	9921	6803	11309	6619	15661	31647	5262	1	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	2	4	2	29	138	18	19	10	17	64	46	29	44	28	58	15	51	93	4	43	76	12	29	7668	9928	19229	17329	6820	8232	25702	11343	15545	7181	13977	28380	13056	28108	38323	1973	16844	14082	31131	27366	21	12	7	5	19	13	16	14	6	28	0	1	0	0	0	1	0	0	2	0	1	1553	2	0	0	0	0	0	0	0	10	1	517	0	0	0	0	0	75	1	2187	8680	38	3723	37	4989	9	48	44	3	34	25	1	79	74	101	8509	2165	3179	5970	4544	17365	12200	7432	7992	7460	10580	19739	33349	16851	32948	15367	22603	23383	2405	11710	3	13	41	22	40	8	16	18	27	14	3	3	2	4	10	2	8	2	1	0	0	0	1	0	63	0	0	7	4	4	9	6	12	21	27	42	10	3	3827	1068	5147	8717	5559	10200	4737	4993	1506
ESL0350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	79	12	89	527	672	2086	1029	1429	1878	0	0	0	0	0	0	0	0	0	0	8	3	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	81	159	69	123	28	92	5	298	123	0	0	0	1	0	0	0	0	0	0	1	18	8	0	6	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	50	117	9	28	7	13	66	3	0	0	1	0	0	0	0	3	0	1	0	1	0	0	6	5	3	10	2	2
ESL0260	0	4	61	0	1	0	0	1	0	0	1	1	0	1	2	0	0	249	0	0	3	0	2	2	8	0	1	0	706	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	5	0	3	2	0	9073	767	1505	9230	9379	9413	16950	23865	26762	21930	1	0	1	0	0	1	0	0	3	0	36950	22285	24059	7330	1410	11050	13666	11645	10321	34556	0	0	0	94	8	0	0	307	2	1	0	2	1	0	0	2	1	0	1	0	8	1	0	0	0	0	1	2	3	2	44	0	0	0	0	0	0	0	0	1	4	68	1	0	0	0	0	0	3	0	11814	12080	9016	9855	16783	3728	6626	2696	8186	12816	0	1806	747	3	1	6	1	7	0	0	13749	23240	22413	8210	37728	17987	10885	5920	0	0	1	0	1	0	576	1	3	0	0	2	13	0	1	115	0	0	1	1	0	0	536	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	15	8	0	0	1	0	0	1	18092	30012	28208	33433	2436	10754	6721	16878	14405	1613	2745	733	638	1215	1944	2284	7322	5278	1909	474	13152	4677	11571	14003	25734	25427	22223	20840	11741
