variable,CFUs
P1_1,6.20E+08
P1_2,8.40E+08
P1_3,1.10E+09
P1_4,1.75E+09
P1_5,9.00E+08
P2_1,9.05E+08
P2_2,1.23E+09
P2_3,9.00E+08
P2_4,3.20E+08
P2_5,2.30E+08
P3_1,9.05E+07
P3_2,1.07E+09
P3_3,5.85E+08
P3_4,1.00E+09
P3_5,1.04E+09
P4_1,1.40E+09
P4_2,1.23E+09
P4_3,2.20E+09
P4_4,4.30E+07
P4_5,9.00E+08
P5_1,6.20E+08
P5_2,4.00E+07
P5_3,5.50E+08
P5_4,1.70E+09
P6_1,9.85E+08
P6_2,7.55E+08
P6_3,8.90E+08
P6_4,1.28E+09
P6_5,2.50E+09
P7_1,1.75E+08
P7_2,2.10E+09
P7_3,1.16E+09
P7_4,5.50E+07
P8_1,1.92E+09
P8_2,1.96E+09
P8_3,6.15E+08
P8_4,8.80E+08
P8_5,2.15E+08
P9_1,1.23E+09
P9_2,6.45E+08
P9_3,1.14E+09
P9_4,1.25E+09
P9_5,1.85E+09
P10_1,1.80E+09
P10_2,1.65E+09
P10_3,1.10E+09
P10_4,2.65E+09
P10_5,2.35E+09
P11_1,2.00E+08
P11_2,1.00E+09
P11_3,1.10E+08
P11_4,2.00E+08
P11_5,4.85E+08
P12_1,1.75E+09
P12_2,1.00E+08
P12_3,1.05E+09
P12_4,8.25E+08
P12_5,4.80E+08
P13_1,1.45E+09
P13_2,2.80E+08
P13_3,2.55E+08
P13_4,7.05E+08
P13_5,5.85E+08
P14_1,8.65E+08
P14_2,4.15E+08
P14_3,1.06E+09
P14_4,2.35E+09
P14_5,8.40E+08
P15_1,6.15E+08
P15_2,9.75E+08
P15_3,1.52E+09
P15_4,1.25E+09
P15_5,1.02E+09
P16_1,7.50E+08
P16_2,3.65E+09
P16_3,1.07E+09
P16_4,1.30E+08
P17_1,3.90E+09
P17_2,1.01E+09
P17_3,3.10E+09
P17_4,1.51E+09
P18_1,1.72E+09
P18_2,5.00E+08
P18_3,8.50E+08
P18_4,2.06E+09
P18_5,1.54E+09
P19_1,5.05E+07
P19_2,2.02E+09
P19_3,1.67E+09
