variable,CFUs
1,7.75E+07
2,8.30E+07
3,6.00E+07
4,3.85E+07
5,3.90E+07
6,2.80E+07
7,5.10E+07
8,4.80E+07
9,3.50E+07
10,4.15E+07
11,6.90E+07
12,1.16E+08
13,4.80E+07
14,6.60E+07
15,6.20E+07
16,3.10E+07
17,3.80E+07
18,6.65E+07
19,2.60E+07
20,4.30E+07
21,9.05E+07
22,3.25E+07
23,7.15E+07
24,6.75E+07
25,8.10E+07
26,5.10E+07
27,1.10E+08
28,6.55E+07
29,8.35E+07
30,9.40E+07
31,4.05E+07
32,2.75E+07
33,1.39E+07
34,8.30E+06
35,3.95E+07
36,4.25E+07
37,3.35E+07
38,3.75E+07
39,3.05E+07
40,4.20E+07
41,3.95E+07
42,4.85E+07
43,5.05E+07
44,3.90E+07
45,4.50E+07
46,1.31E+07
47,1.70E+07
48,5.60E+07
49,3.35E+07
50,3.60E+06
51,4.80E+06
52,6.30E+06
53,8.05E+06
54,2.20E+07
55,1.02E+07
56,1.60E+07
57,2.60E+07
58,2.50E+07
59,1.30E+07
60,3.20E+07
61,2.15E+07
62,1.70E+07
63,2.90E+07
64,2.15E+07
65,1.95E+07
66,2.50E+07
67,8.85E+07
68,3.30E+07
69,1.41E+08
70,3.90E+07
71,7.90E+07
72,3.60E+06
73,2.50E+06
74,1.05E+07
75,2.00E+07
76,3.00E+07
77,1.90E+07
78,4.40E+07
