A,B,A_on_B,B_on_A,variable
ESL0183,ESL0183,-1.942293059,-1.942293059,70
ESL0183,ESL0183,0.45043478,0.45043478,70
ESL0183,ESL0183,0.45769458,0.45769458,70
ESL0183,ESL0184,0.140355037,-1.033438997,33
ESL0183,ESL0184,-3.272928346,-3.800114073,33
ESL0183,ESL0184,-0.26779087,-1.489841122,33
ESL0183,ESL0184,-1.977925486,-1.598563785,33
ESL0183,ESL0184,-0.264589824,-1.05813492,33
ESL0183,ESL0185,-6.197000908,-4.771069188,3
ESL0183,ESL0185,-2.45109022,-1.382058147,3
ESL0183,ESL0185,-2.371043907,-2.551284967,3
ESL0183,ESL0185,-2.003126519,-1.54610797,3
ESL0183,ESL0185,-2.110490735,-1.421547611,3
ESL0183,ESL0186,-1.848978768,-1.500540448,36
ESL0183,ESL0186,-2.471661006,-2.554496294,36
ESL0183,ESL0186,-1.606721161,-1.69404479,36
ESL0183,ESL0186,-2.566009819,-2.12004631,36
ESL0183,ESL0186,-0.392440101,-1.320091841,36
ESL0183,ESL0260,-1.449586921,-0.321804246,34
ESL0183,ESL0260,-3.703355629,-3.778487981,34
ESL0183,ESL0260,-0.966669882,-4.760773753,34
ESL0183,ESL0260,-0.849994775,0.110636821,34
ESL0183,ESL0260,-1.580026215,-3.104774305,34
ESL0183,ESL0261,-1.628642342,-1.836745168,37
ESL0183,ESL0261,-3.360537432,-1.090944881,37
ESL0183,ESL0261,-2.168197548,-1.005290839,37
ESL0183,ESL0261,-3.075134533,-0.575414369,37
ESL0183,ESL0263,-0.313585159,-1.623790155,13
ESL0183,ESL0263,-2.25932222,-4.796334621,13
ESL0183,ESL0263,-3.026137529,-3.917514881,13
ESL0183,ESL0263,-1.517767083,-2.484524972,13
ESL0183,ESL0263,-1.569050381,-3.006735732,13
ESL0183,ESL0350,-4.914956716,-4.521094338,35
ESL0183,ESL0350,-2.318770931,-2.150804823,35
ESL0183,ESL0350,-2.326613935,-2.486252254,35
ESL0183,ESL0351,-2.429063052,-1.167431257,38
ESL0183,ESL0351,-2.292614002,-1.339557393,38
ESL0183,ESL0351,-2.326590908,0.037464501,38
ESL0183,ESL0351,-2.022626312,-0.593036415,38
ESL0183,ESL0351,0.431909153,1.184410756,38
ESL0183,ESL0353,-0.721326222,-0.310436986,22
ESL0183,ESL0353,-0.310570628,-1.509687804,22
ESL0183,ESL0353,1.301117008,-0.798887387,22
ESL0183,ESL0353,-2.138131477,-1.835899609,22
ESL0183,ESL0353,-0.863624266,-0.163071209,22
ESL0183,ESL0354,-6.446262315,-0.99968258,31
ESL0183,ESL0354,-4.62552618,-1.330677918,31
ESL0183,ESL0354,-10.90880012,-1.18684343,31
ESL0183,ESL0354,-6.218487819,-1.209861557,31
ESL0183,ESL0354,-4.580182929,-8.806387195,31
ESL0183,wkb8,-1.02944317,-2.526838009,32
ESL0183,wkb8,-0.226582427,-1.191261155,32
ESL0183,wkb8,-1.243276699,-0.685258528,32
ESL0183,wkb8,0.444940835,-2.520607469,32
ESL0184,ESL0183,-1.033438997,0.140355037,33
ESL0184,ESL0183,-3.800114073,-3.272928346,33
ESL0184,ESL0183,-1.489841122,-0.26779087,33
ESL0184,ESL0183,-1.598563785,-1.977925486,33
ESL0184,ESL0183,-1.05813492,-0.264589824,33
ESL0184,ESL0184,-0.077705167,-0.077705167,73
ESL0184,ESL0184,0.197865015,0.197865015,73
ESL0184,ESL0184,-0.882672821,-0.882672821,73
ESL0184,ESL0184,-0.557204348,-0.557204348,73
ESL0184,ESL0184,0.751426924,0.751426924,73
ESL0184,ESL0185,-4.264091825,-0.804957758,6
ESL0184,ESL0185,-4.507248088,-1.197678412,6
ESL0184,ESL0185,-2.789905961,-1.18273798,6
ESL0184,ESL0185,-2.259346104,-0.659864464,6
ESL0184,ESL0185,-1.02230995,0.225358113,6
ESL0184,ESL0186,-2.399213044,-0.996949044,54
ESL0184,ESL0186,-2.392271094,-0.464620964,54
ESL0184,ESL0186,-0.849429103,-1.475171523,54
ESL0184,ESL0186,-4.845632864,-3.642337719,54
ESL0184,ESL0186,-0.80771926,0.195507033,54
ESL0184,ESL0260,-2.389290874,-1.583994092,53
ESL0184,ESL0260,-2.241808973,-1.298921432,53
ESL0184,ESL0260,-5.85328849,-0.778235617,53
