Strain	inoc10_10_391_S1_L001_B13F_B10R_	inoc11_11_392_S1_L001_B14F_B10R_	inoc12_12_393_S1_L001_B15F_B10R_	inoc13_13_394_S1_L001_B16F_B10R_	inoc14_14_395_S1_L001_B17F_B10R_	inoc15_15_396_S1_L001_B18F_B10R_	inoc16_16_397_S1_L001_B19F_B10R_	inoc17_17_398_S1_L001_B20F_B10R_	inoc18_18_399_S1_L001_B21F_B10R_	inoc19_19_400_S1_L001_B22F_B10R_	inoc1_1_382_S1_L001_B16F_B9R_	inoc20_20_401_S1_L001_B23F_B10R_	inoc21_21_402_S1_L001_B24F_B10R_	inoc22_22_403_S1_L001_B13F_B11R_	inoc23_23_404_S1_L001_B14F_B11R_	inoc24_24_405_S1_L001_B15F_B11R_	inoc25_25_406_S1_L001_B16F_B11R_	inoc26_26_407_S1_L001_B17F_B11R_	inoc27_27_408_S1_L001_B18F_B11R_	inoc28_28_409_S1_L001_B19F_B11R_	inoc29_29_410_S1_L001_B20F_B11R_	inoc2_2_383_S1_L001_B17F_B9R_	inoc30_30_411_S1_L001_B21F_B11R_	inoc31_31_412_S1_L001_B22F_B11R_	inoc32_32_413_S1_L001_B23F_B11R_	inoc33_33_414_S1_L001_B24F_B11R_	inoc34_34_415_S1_L001_B13F_B12R_	inoc35_35_416_S1_L001_B14F_B12R_	inoc36_36_417_S1_L001_B15F_B12R_	inoc37_37_418_S1_L001_B16F_B12R_	inoc38_38_419_S1_L001_B17F_B12R_	inoc39_39_420_S1_L001_B18F_B12R_	inoc3_3_384_S1_L001_B18F_B9R_	inoc40_40_421_S1_L001_B19F_B12R_	inoc41_41_422_S1_L001_B20F_B12R_	inoc42_42_423_S1_L001_B21F_B12R_	inoc43_43_424_S1_L001_B22F_B12R_	inoc44_44_425_S1_L001_B23F_B12R_	inoc45_45_426_S1_L001_B24F_B12R_	inoc46_46_427_S1_L001_B13F_B13R_	inoc47_47_428_S1_L001_B14F_B13R_	inoc48_48_429_S1_L001_B15F_B13R_	inoc49_49_430_S1_L001_B16F_B13R_	inoc4_4_385_S1_L001_B19F_B9R_	inoc50_50_431_S1_L001_B17F_B13R_	inoc51_51_432_S1_L001_B18F_B13R_	inoc52_52_433_S1_L001_B19F_B13R_	inoc53_53_434_S1_L001_B20F_B13R_	inoc54_54_435_S1_L001_B21F_B13R_	inoc55_55_436_S1_L001_B22F_B13R_	inoc56_56_437_S1_L001_B23F_B13R_	inoc58_58_439_S1_L001_B13F_B14R_	inoc59_59_440_S1_L001_B14F_B14R_	inoc5_5_386_S1_L001_B20F_B9R_	inoc60_60_441_S1_L001_B15F_B14R_	inoc61_61_442_S1_L001_B16F_B14R_	inoc62_62_443_S1_L001_B17F_B14R_	inoc63_63_444_S1_L001_B18F_B14R_	inoc64_64_445_S1_L001_B19F_B14R_	inoc65_65_446_S1_L001_B20F_B14R_	inoc66_66_447_S1_L001_B21F_B14R_	inoc67_67_448_S1_L001_B22F_B14R_	inoc68_68_449_S1_L001_B23F_B14R_	inoc69_69_450_S1_L001_B24F_B14R_	inoc6_6_387_S1_L001_B21F_B9R_	inoc70_70_451_S1_L001_B13F_B15R_	inoc71_71_452_S1_L001_B14F_B15R_	inoc72_72_453_S1_L001_B15F_B15R_	inoc73_73_454_S1_L001_B16F_B15R_	inoc74_74_455_S1_L001_B17F_B15R_	inoc75_75_456_S1_L001_B18F_B15R_	inoc76_76_457_S1_L001_B19F_B15R_	inoc77_77_458_S1_L001_B20F_B15R_	inoc7_7_388_S1_L001_B22F_B9R_	inoc8_8_389_S1_L001_B23F_B9R_	inoc9_9_390_S1_L001_B24F_B9R_
ESL0184	1	1	0	0	0	0	1549	0	0	2	0	1	0	0	0	0	1593	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	2278	0	0	0	0	0	1180	0	0	0	0	0	0	3087	1774	6769	1291	4701	5	0	0	14	1	0	5	0	1	6	0	0	0	3192	0	0	0	6408	0	0	0	0	3	0	0
wkb8	0	1	0	1	5	725	0	0	0	0	0	0	0	0	4	3474	0	0	0	0	0	0	0	302	3458	0	1	0	2	0	0	3469	0	2	1	0	34	1	2	1029	1344	680	1422	9	497	954	0	0	0	0	1	0	0	9467	0	0	0	0	0	4	0	0	0	0	0	1	7	6047	0	0	0	0	0	39	0	0
ESL0351	0	3304	0	0	0	0	0	0	0	1	0	0	90	0	0	0	0	0	0	4	0	0	3145	0	1	0	1	0	1	0	3300	16	0	0	0	0	1	0	96	1	0	0	3	0	0	1369	0	0	13	0	5659	2	0	0	3093	16	0	4295	42	4809	16685	0	0	0	0	1	0	0	1	0	1	42	0	19	0	0
ESL0185	2091	1933	2	4	3	4	5	1	0	4	17937	6	0	0	3	4	2	1	0	1	2	905	5	0	0	0	1	0	0	0	3	76	768	0	0	0	0	0	0	0	0	0	0	2440	0	0	0	0	0	2	1	0	0	8139	0	0	0	0	2	10	16	7525	7	0	29	1	0	0	0	0	0	0	0	15560	3915	119
ESL0261	2250	0	0	0	0	0	0	0	0	0	0	3107	0	1	0	1	0	0	0	0	2414	0	1	1	0	0	0	1	0	2784	0	61	0	0	1	0	0	3000	0	0	0	0	0	0	883	0	0	0	0	1614	1	0	3738	0	3	0	2545	1	6653	0	3067	0	0	0	6	0	0	1	1	0	1	0	9816	63	0	0
ESL0350	0	0	0	0	0	0	0	0	2474	0	0	0	0	0	0	0	2	1	867	0	0	0	0	0	0	0	0	1884	0	0	0	29	0	0	0	4147	0	0	0	0	1	1450	0	0	0	0	5264	0	0	0	0	0	0	0	0	5749	2536	4676	0	0	14	0	0	0	5	0	0	0	0	0	9502	0	0	0	4568	0
ESL0186	0	6	0	0	0	0	0	0	0	2593	1	0	0	0	0	0	0	0	0	2261	0	0	4	0	0	0	0	0	1517	0	4	21	0	0	0	0	2949	1	2	1	0	0	1116	0	0	0	0	2	5003	1	11	890	1	1	6	4283	0	6	3038	3016	37	0	0	0	15	0	0	0	0	0	0	15211	0	31	0	69
ESL0183	0	0	0	3908	1	0	1	1	0	0	0	0	0	1484	1	0	0	0	0	0	0	0	0	5069	5705	115	27720	2750	3849	4368	6153	164	1322	0	0	1	1	1	0	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	90	1	0	0	48	66298	2	0	0	0	0	1	5	139	0	0
ESL0263	6	4	2113	5431	3290	2025	6093	4506	6699	7079	58445	6534	180	2	4	8	2	11	2	12	5	17	9	0	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	5	9429	1	0	0	0	0	0	0	0	0	0	60	6	5
ESL0353	0	0	1813	5	2	0	2	1	3	5	46	4	0	2049	3641	7088	3643	4171	2357	6778	5792	4132	5950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	17	0	5	182	13	0	0	0	0	0	0	0	1	18	8	0
ESL0260	0	0	0	0	0	0	1	1663	0	0	0	0	0	0	0	0	2	2672	0	0	0	0	0	0	0	0	15484	0	0	0	0	100	0	8	2128	0	0	0	0	3	1931	1	0	0	1	0	13	2032	0	1	0	1545	4634	0	4496	1	0	0	1	1	63	1	0	0	13	0	0	0	0	5143	0	0	0	12137	0	0
ESL0354	0	0	0	0	3290	0	0	0	0	0	0	0	0	0	2914	2	0	0	0	0	0	0	0	7402	4	0	18	0	1	2	1	10222	0	5857	4296	8527	11147	4904	130	8	12	4	4	8646	5	2	1	1	0	0	0	0	0	7	0	0	0	0	0	0	30	0	0	0	2	0	5870	2	0	0	0	0	0	35	0	0
