"","Strain","variable","replicate","value","CFUs","Normalised_counts","col_type"
"1","ESL0185","1","1",0.0519605228060816,6.2e+08,32215524.1397706,"co"
"2","ESL0263","1","1",0.930968258202187,6.2e+08,577200320.085356,"co"
"3","ESL0185","1","2",0.0549521453919776,8.4e+08,46159802.1292612,"co"
"4","ESL0263","1","2",0.944295085493064,8.4e+08,793207871.814174,"co"
"5","ESL0185","1","3",0.107839645415331,1.1e+09,118623609.956864,"co"
"6","ESL0263","1","3",0.891190787130476,1.1e+09,980309865.843524,"co"
"7","ESL0185","1","4",0.247072879330944,1.75e+09,432377538.829152,"co"
"8","ESL0263","1","4",0.751971326164874,1.75e+09,1315949820.78853,"co"
"9","ESL0185","1","5",0.0440191387559809,9e+08,39617224.8803828,"co"
"10","ESL0263","1","5",0.951196172248804,9e+08,856076555.023923,"co"
"11","ESL0185","2","1",0.353064212507844,9.05e+08,319523112.319598,"co"
"12","ESL0353","2","1",0.638778498222129,9.05e+08,578094540.891027,"co"
"13","ESL0185","2","2",0.482170542635659,1.23e+09,593069767.44186,"co"
"14","ESL0353","2","2",0.495736434108527,1.23e+09,609755813.953488,"co"
"15","ESL0185","2","3",0.462419887356768,9e+08,416177898.621091,"co"
"16","ESL0353","2","3",0.530394251310934,9e+08,477354826.179841,"co"
"17","ESL0185","2","4",0.516393442622951,3.2e+08,165245901.639344,"co"
"18","ESL0353","2","4",0.474499089253188,3.2e+08,151839708.56102,"co"
"19","ESL0185","2","5",0.162322816643804,2.3e+08,37334247.828075,"co"
"20","ESL0353","2","5",0.832876085962506,2.3e+08,191561499.771376,"co"
"21","ESL0185","3","1",0.189685314685315,90500000,17166520.979021,"co"
"22","ESL0183","3","1",0.809615384615385,90500000,73270192.3076923,"co"
"23","ESL0185","3","2",0.215243472124206,1.07e+09,230310515.1729,"co"
"24","ESL0183","3","2",0.717360621030346,1.07e+09,767575864.50247,"co"
"25","ESL0185","3","3",0.416154161541615,5.85e+08,243450184.501845,"co"
"26","ESL0183","3","3",0.583435834358344,5.85e+08,341309963.099631,"co"
"27","ESL0185","3","4",0.314169685870128,1e+09,314169685.870128,"co"
"28","ESL0183","3","4",0.685073854361588,1e+09,685073854.361588,"co"
"29","ESL0185","3","5",0.28042135851798,1.04e+09,291638212.8587,"co"
"30","ESL0183","3","5",0.718125681075191,1.04e+09,746850708.318198,"co"
"31","ESL0185","4","1",0.326782820097245,1.4e+09,457495948.136143,"co"
"32","ESL0354","4","1",0.671596434359806,1.4e+09,940235008.103728,"co"
