pair_infor	Strain	SDP	Status
3	ESL0185	SDP1	DifferentSDP
3	ESL0183	SDP2	DifferentSDP
4	ESL0185	SDP1	DifferentSDP
4	ESL0354	SDP2	DifferentSDP
5	ESL0185	SDP1	DifferentSDP
5	wkb8	SDP2	DifferentSDP
6	ESL0185	SDP1	DifferentSDP
6	ESL0184	SDP3	DifferentSDP
7	ESL0185	SDP1	DifferentSDP
7	ESL0260	SDP3	DifferentSDP
8	ESL0185	SDP1	DifferentSDP
8	ESL0350	SDP3	DifferentSDP
9	ESL0185	SDP1	DifferentSDP
9	ESL0186	SDP4	DifferentSDP
10	ESL0185	SDP1	DifferentSDP
10	ESL0261	SDP4	DifferentSDP
11	ESL0185	SDP1	DifferentSDP
11	ESL0351	SDP4	DifferentSDP
13	ESL0263	SDP1	DifferentSDP
13	ESL0183	SDP2	DifferentSDP
14	ESL0263	SDP1	DifferentSDP
14	ESL0354	SDP2	DifferentSDP
15	ESL0263	SDP1	DifferentSDP
15	wkb8	SDP2	DifferentSDP
16	ESL0263	SDP1	DifferentSDP
16	ESL0184	SDP3	DifferentSDP
17	ESL0263	SDP1	DifferentSDP
17	ESL0260	SDP3	DifferentSDP
18	ESL0263	SDP1	DifferentSDP
18	ESL0350	SDP3	DifferentSDP
19	ESL0263	SDP1	DifferentSDP
19	ESL0186	SDP4	DifferentSDP
20	ESL0263	SDP1	DifferentSDP
20	ESL0261	SDP4	DifferentSDP
21	ESL0263	SDP1	DifferentSDP
21	ESL0351	SDP4	DifferentSDP
22	ESL0353	SDP1	DifferentSDP
22	ESL0183	SDP2	DifferentSDP
23	ESL0353	SDP1	DifferentSDP
23	ESL0354	SDP2	DifferentSDP
24	ESL0353	SDP1	DifferentSDP
24	wkb8	SDP2	DifferentSDP
25	ESL0353	SDP1	DifferentSDP
25	ESL0184	SDP3	DifferentSDP
26	ESL0353	SDP1	DifferentSDP
26	ESL0260	SDP3	DifferentSDP
27	ESL0353	SDP1	DifferentSDP
27	ESL0350	SDP3	DifferentSDP
28	ESL0353	SDP1	DifferentSDP
28	ESL0186	SDP4	DifferentSDP
29	ESL0353	SDP1	DifferentSDP
29	ESL0261	SDP4	DifferentSDP
30	ESL0353	SDP1	DifferentSDP
30	ESL0351	SDP4	DifferentSDP
33	ESL0183	SDP2	DifferentSDP
33	ESL0184	SDP3	DifferentSDP
34	ESL0183	SDP2	DifferentSDP
34	ESL0260	SDP3	DifferentSDP
35	ESL0183	SDP2	DifferentSDP
35	ESL0350	SDP3	DifferentSDP
36	ESL0183	SDP2	DifferentSDP
36	ESL0186	SDP4	DifferentSDP
37	ESL0183	SDP2	DifferentSDP
37	ESL0261	SDP4	DifferentSDP
38	ESL0183	SDP2	DifferentSDP
