Orthogroup,ESL0353,ESL0351,ESL0350,ESL0354,ESL0186,ESL0185,ESL0184,ESL0183,ESL0263,ESL0260,ESL0261,wkb8
OG0000001,"2632701599, 2632701847, 2632701934","2637897802, 2637897915, 2637898232, 2637898954, 2637898959, 2637898964, 2637898997, 2637899005","2641557847, 2641558120, 2641558267, 2641558273, 2641559350",,"2686072938, 2686073132, 2686073138, 2686073252, 2686073518","2686074932, 2686074938, 2686074959, 2686075049","2686076280, 2686076699, 2686076705, 2686076858, 2686077867, 2686077875",,"2760261429, 2760261615, 2760261619, 2760262631, 2760262713","2760264766, 2760265185, 2760265191, 2760266219, 2760266227","2760267038, 2760267044, 2760267153, 2760268261, 2760268269",
OG0000006,,"2637897666, 2637897672, 2637897788, 2637898071","2641558133, 2641559214","2646683702, 2646683797, 2646683895, 2646684143, 2646684225, 2646685058","2686073413, 2686073723, 2686074255, 2686074357",2686076030,2686077729,"2686078462, 2686078559, 2686078673, 2686078914, 2686078995, 2686079823",2760261234,2760265050,"2760266908, 2760267309, 2760268220, 2760268342","LACWKB8_0201, LACWKB8_0313, LACWKB8_0436, LACWKB8_0687, LACWKB8_0785, LACWKB8_1627"
OG0000011,,2637899401,"2641559725, 2641559733","2646684075, 2646684890, 2646685211, 2646685276, 2646685277","2686072826, 2686073435, 2686074005, 2686074353, 2686074431, 2686074432",2686075653,"2686076311, 2686076463, 2686076562, 2686076951, 2686077014, 2686077151, 2686078039, 2686078099, 2686078179, 2686078238","2686078557, 2686079253",,,"2760267068, 2760267338, 2760267762, 2760267863, 2760268230",LACWKB8_0310
OG0000012,"2632701750, 2632702168","2637897777, 2637898254, 2637899317","2641557919, 2641558066","2646683645, 2646684555, 2646684865","2686072786, 2686073541, 2686074594","2686075299, 2686075950","2686076513, 2686078155, 2686078172","2686078403, 2686078583, 2686079321, 2686079656, 2686079942","2760261252, 2760261385, 2760261695, 2760261878, 2760262578",2760264980,,"LACWKB8_0339, LACWKB8_1120, LACWKB8_1440"
OG0000015,"2632702968, 2632702969, 2632702970, 2632702971, 2632702972, 2632702973, 2632702974, 2632702975, 2632703083, 2632703084, 2632703086","2637899232, 2637899235",2641559580,2646685124,2686074505,"2686076133, 2686076137, 2686076138",,2686079890,"2760262817, 2760262818, 2760262819, 2760262820",2760266447,"2760268518, 2760268521, 2760268524",LACWKB8_1705
OG0000016,,"2637897668, 2637897671, 2637897812","2641558131, 2641559216","2646683706, 2646683893, 2646684223, 2646685062","2686073143, 2686073725, 2686074257, 2686074358",2686076031,"2686076676, 2686077731","2686078466, 2686078671, 2686078993, 2686079827",,2760265048,"2760266907, 2760268222, 2760268343","LACWKB8_0205, LACWKB8_0434, LACWKB8_0783, LACWKB8_1631"
OG0000017,"2632701598, 2632701933","2637897801, 2637897914, 2637898960, 2637898998","2641557846, 2641558272, 2641559351",,"2686072937, 2686073131, 2686073251","2686074931, 2686075048","2686076279, 2686076704, 2686076856, 2686077876",,"2760261614, 2760261618, 2760262714","2760264765, 2760265190, 2760266228","2760267037, 2760267152, 2760268262",
OG0000021,2632701748,"2637897684, 2637897779, 2637898932","2641557883, 2641558064, 2641558422, 2641559560",2646683574,"2686072784, 2686074223",,"2686076314, 2686076511, 2686076930, 2686078084",2686078329,"2760261383, 2760261696","2760264799, 2760264978, 2760265342, 2760266424","2760268196, 2760268600",LACWKB8_0074
OG0000023,,"2637897589, 2637897590, 2637897591, 2637897592, 2637897593",,"2646683709, 2646683710, 2646683711, 2646684214","2686072943, 2686072944",,,"2686078469, 2686078470, 2686078983","2760262752, 2760262753, 2760262754",,"2760266806, 2760266807, 2760266808, 2760267485","LACWKB8_0208, LACWKB8_0209, LACWKB8_0210, LACWKB8_0763"
OG0000032,2632702701,"2637897419, 2637897445, 2637897677, 2637897795, 2637898228","2641557858, 2641557887, 2641559218",2646684510,2686073514,2686075851,2686077733,,"2760261637, 2760262488",2760266085,"2760266675, 2760266913, 2760268156","LACWKB8_1073, LACWKB8_1359"
